No Filter (I), No Filter (V), Yellow Filter (I), Yellow Filter (V), Green Filter (I), Green Filter (V), Pink Filter (I), Pink Filter (V), Blue Filter (I), Blue Filter (V)
I (in mA)    , V ( in V)    , I (in mA)        , V (in V)         , I (in mA)      , V (in V)       , I (in mA)     , V (in V)       , I (in mA)      , V (in V)
             ,              ,                  ,                  ,                ,                , 0.14          , 4.055          , 0.05           , 3.867
             ,              ,                  ,                  ,                ,                , 0.12          , 4.068          , 0.04           , 3.877
             ,              ,                  ,                  ,                ,                , 0.11          , 4.075          , 0.03           , 3.882
             ,              ,                  ,                  ,                ,                , 0.1           , 4.084          ,                , 
             ,              ,                  ,                  ,                ,                , 0.09          , 4.097          ,                , 
             ,              ,                  ,                  ,                ,                , 0.08          , 4.103          ,                , 
             ,              ,                  ,                  ,                ,                , 0.07          , 4.11           ,                , 
             ,              ,                  ,                  ,                ,                , 0.06          , 4.173          ,                , 
             ,              ,                  ,                  ,                ,                , 0.05          , 4.118          ,                , 
             ,              ,                  ,                  ,                ,                , 0.04          , 4.125          ,                , 
             ,              ,                  ,                  ,                ,                , 0.03          , 4.132          ,                , 
